 Title of your event,Short description of your event,Long description of your event,Event date,Event date (end) if you have a multi-day event,Starting time,End time,Event URL,Lisbon,Event type,Speaker(s),Sponsor(s),Address,Venue,Image,Url note
Liscon Sca(n)venger Hunt 2,BlackPool’s brunch is back! Earn yourself a seat at the table (& many other NFTs) during the BlackPool x OVR Sca(n)venger hunt !,"OVR and BlackPool join forces for a high-stakes treasure hunt!

As you may know, the BrunchPool will take place on the 22nd of October at 11h30 following the Liscon conference and this time, we want to complete our table with degens such as yourselves! We decided to complete our madlad guestlist with an additional 15 spots to be won by conference attendees during a city-scale augmented-reality scavenger hunt! To do so, we at BlackPool are delighted to be joined by our friends and partners from OVR!

To enter the game, you will first have to find a QR code to scan, thus marking the beginning of your hunt! You will then be given a detailed set of rules, instructions and… riddles. Brain yourself into gathering BlackPool’s 7 artifacts and join us to a feast for the ages! The hunt will last for 36h covering the whole conference, from October 20th, 9 am, to October 21th, 9pm.

But fear not you who will be gone before the BrunchPool, for many NFTs will be distributed! Partners have joined the experience with a second hunt running in parallel to BrunchPool treasure hunt. Over the same period of time, gather as many artifacts as you can from projects such as Cometh, Ethernaal, or Centrifuge, etc., scattered across Lisbon and compete for a wide range of valuable NFTs! Some will be earned with sweat, some will be earned with luck, all will be memorable",10/21/2021,10/21/2021,12:00:00 AM,09:00:00 PM,https://www.eventbrite.com/e/liscon-scanvenger-hunt-tickets-183408458637,OVR metaverse/Lisbon,treasure hunt,"OVR, Blackpool","Centrifuge, Cometh, Ethernaal, PoaP",,OVR metaverse,,
Harmony One World,"Conference: Daos, Defi, NFTs & Harmony Protocol. & Party","About the event :

Duration 9 hours — Beginning at 1pm & end at 10pm (Full details below)

1pm - 1h30pm registration

1h30pm - 2pm welcome coffee

2pm - 2h45pm opening talks harmony team

2h45pm - 4h30pm scaling daos

4h30pm - 5h15pm Defi « open finance for all »

5h15pm - 18pm NFTs

6pm - 10 pm buffet / drink / party

Harmony Protocol

#Blockchainweek #Defi #Daos #NFTs #HarmonyOne


Ticket Required",10/18/2021,10/18/2021,01:00:00 PM,10:00:00 PM,https://www.eventbrite.com/e/harmony-one-world-tickets-183665447297,"Iberostar Selection Lisboa

64 Rua Castilho

1250-071 Lisboa

Portugal","conferences, events, drinks",@harmonyprotocol,,64 Rua Castilho 1250-071 Lisboa Portugal,Iberostar Selection Lisboa,,
Games Night @ The Block,Games Night at The Block ,"Get your game on! Come join fellow game enthusiasts at The Block for Friday Night Magic & More!

• Magic: the Gathering Sealed Deck Tournament (prizes TBA)
• Settlers of Catan
• Monopoly
• Casual M:TG
• LAN party
• Bring your own games",10/22/2021,10/22/2021,07:00:00 PM,11:00:00 PM,https://www.meetup.com/TheBlock/events/281203936/,The Block ,games night,No,,,The Block ,,
Dinner with likeminded people,Host a private dinner with likeminded people,Host a private and exclusive dinner one of the evenings of blockchain week Lisbon to connect and network with people in the same industry where we could all benefit from each other ,10/22/2021,10/22/2021,09:00:00 PM,12:00:00 AM,,,"events, drinks, dinner",,,,,,
Molecule & VitaDAO Team Party @ EthLisbon,,"An evening for Molecule and VitaDAO members & guests to connect, network and celebrate the year's success.

Molecule and VitaDAO are celebrating the establishment of the world's first biotech DAO as well as the development of the first IP/NFT system. Unfortunately this is a limited capacity event with no tickets on sale. However, if you have a passion for the intersection of Web3.0 and the pharmaceutical industry please apply using the google form. ",10/20/2021,10/20/2021,07:00:00 PM,11:30:00 PM,https://www.eventbrite.com/e/molecule-vitadao-team-party-ethlisbon-tickets-186568550557 ,,events,"Molecule, VitaDAO","Molecule, VitaDAO","R. António Maria Cardoso, 1200-484 Lisboa, Portugal",,,
PsyDAO: Exploring the intersection of Web3.0 and psychedelic research,"A think tank of Web3.0 thought leaders, VC's and entrepreneurs investigating the future of blockchain and psychedelic research.","Leaders in the Web3.0 space, VC's and like-minded individuals will be hosting an evening of networking and ideation around the development of PsyDAO. A decentralised autonomous organisation that looks to facilitate the development of novel therapeutics aimed at mental health ailments. Conversation will be facilitated around the potentials of such a DAO and the development of open source psychedelic R&D.",10/18/2021,10/18/2021,07:00:00 PM,11:30:00 PM,https://www.eventbrite.com/e/psydao-exploring-the-intersection-of-web30-and-psychedelic-research-tickets-186749020347 ,,"events, workshops",unknown,,"R. António Maria Cardoso 26, 1200-484 Lisboa, Portugal",,,
"Drinks & Panel w/ Upshot, PWN and Filecoin","Upshot, PWN and Filecoin are hosting a happy hour networking with a panel discussion about the cultural impact of NFTs","GM! 
Come join us for drinks and a discussion of  the cultural impact of NFTs and what's the future that awaits all of us normies, degens, collectors and artists. A night full of fun, drinks, networking and alpha leaks in the gorgeous Eneko Lisboa venue.

PS: There might be a cheeky NFT surprise!",10/23/21,10/23/21,06:00:00 PM,11:59:00 PM,https://www.eventbrite.com/e/drinks-panel-w-upshot-pwn-and-filecoin-tickets-186912148267,Eneko Lisboa,"events, drinks","Nick Emmons, CEO & Co-Founder Upshot
Josef Je, CEO & Co-Founder PWN
Vukašin Vukoje, Filecoin
Moderator: Joe Schweitzer, Ethereum Foundation",,,,,
Legal Crypto Lunch,Informal conversations about law and crypto around a lunch,"With a few lawyers from Lisbon and elsewhere, let's discuss law and crypto around a cola lunch",10/18/21,10/18/21,12:00:00 PM,02:00:00 PM,https://www.eventbrite.fr/e/legal-crypto-lunch-tickets-188179829937,,events,João Vieira dos Santos - Xavier Lavayssière,,,,,
Web3 VIP Gathering,"ConsenSys' Metamask, Diligence, Infura are hosting an off-site gathering for the Ethereum ecosystem.","ConsenSys' Metamask, Diligence, Infura are hosting an off-site gathering for the Ethereum ecosystem.

We’re inviting web3 founders, leaders and builders who are changing the intersection between DAOs, NFTs and DeFi. We'll be providing dinner, cocktails and música...",10/21/21,10/21/21,06:00:00 PM,11:00:00 PM,https://consensys-software.typeform.com/to/kY1LCdZR,The Block,events,"Special guests that are DAO leaders, Defi founders in the Ethereum community. TBA upon invitation.
",ConsenSys and more,,,,
Connext presents: The Next Level,A Lisbon party experience you won't f̶o̶r̶g̶e̶t̶ remember.,Connext is hosting a party on Oct 23rd. Location and entertainment TBA.,10/23/21,10/24/21,10:00:00 PM,04:00:00 AM,"We'll be releasing an event link soon. In the meantime, here is the twitter announcement: https://twitter.com/ConnextNetwork/status/1446581152177958919?s=20",,drinks,,,,,,
Women in Blockchain Dinner Meetup ,Join the Women in Blockchain Dinner at the start of Liscon & ETHLisbon to get connect ahead of the conference.,"Join the Women in Blockchain Dinner at the start of Liscon & ETHLisbon to get connect ahead of the conference.
There were way more sign ups than we anticipated which is amazing, however, we are too many for a normal restaurant now.
Therefore we searched all over Lisbon and secured an amazing venue with a caterer. Because we have limited spots and need to pay the caterer based on attendees, please buy your ticket before Weds.Since there is no sponsor for this event, everybody pays for themselves.
We managed to negotiate a price of €25 which includes dinner (veg & non veg) and drinks (alc and non alc). Please note that we are not making any profit from this, we are just passing along the cost of catering.
The Location will be announced after you registered here https://www.eventbrite.com/e/women-in-blockchain-dinner-tickets-189187323377
",10/18/21,10/18/21,07:00:00 PM,10:00:00 PM,https://www.eventbrite.com/e/women-in-blockchain-dinner-tickets-189187323377,Announced to ticket holders only,dinner,"Women in Blockchain, METL, Women4Blockchain, Carly Howard",,,,,
1inch Party Protocol 3.0,"Join the most incredible party at the beautiful terrace with the incredible view. Food, drinks, DJ and the entertainment program inside ✨","Don't miss a chance to join the most awesome party on the blockchain week and meet an incredible 1inch team in person ⚡

🥂  Doors open 
7:00 pm — 2:00 am 
📍 Location
SUD Lisboa, MAAT, Pavilhão Poente, 1300-598 
https://g.page/sudlisboa
🦠  Covid measures
We’ll check QR-codes at the entrance
_____________________________
Join our group for updated info!
🔗  https://t.me/joinchat/OzuN8CsuUEc2M2Yy
_____________________________
Organiser
1inch Network 
The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.",10/21/21,10/21/21,07:00:00 PM,02:00:00 AM,https://www.eventbrite.co.uk/e/1inch-party-protocol-30-tickets-190417051527,"SUD Lisboa, MAAT, Pavilhão Poente, 1300-598 
https://g.page/sudlisboa",drinks,-,1inch Network,,,,
Filecoin Orbit Lisbon Meetup,"We'll be hosting a very special event in Lisbon, at Heden Santa Apolonia to celebrate all of the achievements of the Filecoin network — and look ahead to what’s coming next!","It’s hard to believe, but the Filecoin network has been in orbit for a year already, following the highly anticipated Filecoin Mainnet Liftoff on October 15th, 2020.

Recently, Filecoin storage providers surpassed 12 exbibytes (EiB) of global, decentralized storage capacity, equivalent to 190 Internet Archives, 45,000 Wikipedias, and 6,850,000 years worth of video calls!",10/21/21,10/21/21,05:00:00 PM,10:00:00 PM,https://www.meetup.com/lisbon-ipfs/events/281269034/,Heden Santa Apolonia,events,,,,,,
Proof of Walk with PWN,Join us for a stroll through the lovely streets of Lisbon. We'll get to meet the city and each other during a short walk.,"GM to all degens,

after several days of drinks, partying and networking, it's finally time to do something healthy.

Join us for a stroll through the lovely streets of Lisbon. We'll get to meet the city and each other during a short walk on Thursday afternoon.

Let's meet at the entrance of Convento do Carmo at 2:00 pm on Thursday (21st of October) and we'll walk towards Jardim da Cerca da Graca.

We can stop for a snack or a drink if needed :)

We strongly recommend joining this telegram chat, we'll be sharing the live location throughout the walk in case anybody gets lost: https://t.me/joinchat/hEeKFEe1e5MwYmI8

Looking forward to walking with you all!",10/21/21,10/21/21,02:00:00 PM,04:00:00 PM,https://www.eventbrite.com/e/proof-of-walk-with-pwn-tickets-190548534797,Meet at Convento do Carmo,sightseeing,,,,,,
Web3 Stack Meetup,Join true builders of the web3 at the side-event of the Lisbon Blockchain Week.,"Talks from the top web3 infrastructure projects: Fluence Labs, Protocol Labs, Ceramic Network.

Q&A, networking

Afterparty / drinks & tasty local snacks",10/20/21,10/20/21,06:00:00 PM,09:00:00 PM,https://www.eventbrite.com/e/web3-stack-meetup-fluence-ipfs-ceramic-tickets-178308404237?ref=estw,"The Block Lisboa

63 Rua Latino Coelho

#1er Andar

1050-133 Lisboa

Portugal",events,"Joel Thorstensson, CTO of 3Box Labs/Co-Creator of Ceramic Network, Fluence Network & IPFS","Ceramic Network, Fluence Network & IPFS",,,,
Sommelier Pre-Hackathon Wine & Beer VIP Boat Party,Enjoy Wine and Beer with Lisbon Blockchain Week attendees.,"We want to welcome you to the Sommelier Pre-Hackathon Wine & Beer VIP Boat Party. Enjoy Wine and Beer with Lisbon Blockchain Week attendees. Relax before the ETHLisbon Hackathon and enjoy the finest sips before the big day.

You can find the Boat ""Príncipe da Beira"" docked at the ""Doca de Espanhol/Alcântara"" right next to the ""Pontile"" restaurant.

Or simply enter the following in Google Maps:
Pontile, Doca do Espanhol, Rocha Conde de Óbidos, Alcântara Norte, 1350-352 Lisboa",10/21/21,10/21/21,05:00:00 PM,10:00:00 PM,https://sommelier.finance/events/sommelier-wine-beer-boat-party,Príncipe da Beira (Boat),drinks,"None, just chill vibes",,,,,
Liscon Launch Party w/ Spectral,Spectral,"Join us as we kick off LisCon and Lisbon Blockchain week. Watch the sunset over the iconic Salazar bridge, enjoy delicious food, an open bar and listen to talented local artists and DJs as we bring life to the open space of the venue. Please RSVP.
",10/20/21,10/20/21,06:00:00 PM,02:00:00 AM,https://www.eventbrite.com/e/liscon-launch-party-w-spectral-social-capital-maple-finance-maven11-tickets-180951098607,"Espaço Espelho D'agua Lisboa
https://www.google.com/maps?hl=en&q=38.69385700000001,-9.2078448&sll=38.69385700000001,-9.2078448&z=13&markers=38.69385700000001,-9.2078448",drinks,No panels or speakers - just vibes.,Spectral + Social Capital + Maple Finance + Maven11,,,,
Rollups and Data Availability - Building a Modular Blockchain Stack,Learn about how rollups and data availability layers form the basis of a new modular paradigm for blockchain architecture.,"The combination of rollups and data availability layers creates a modular blockchain technology stack. This new paradigm promises advantages in scalability, flexibility and interoperability for decentralized apps.

Come learn about this exciting new frontier from the teams building it — Starkware, Celestia, Fuel and Offchain Labs. The event features presentations from each team followed by a panel and refreshments.

Schedule:
17:00 : Venue opens
17:30 - 18:15 : Team presentations
18:15 - 19:00 : Panel & audience questions
19:00 - 20:30 : Refreshments & networking

Speakers:
Mustafa Al-Bassam, Co-founder of Celestia Labs
Avihu Levy, Head of Product at Starkware Industries
John Adler, Co-founder of Fuel Labs
Fred Lacs, Software Engineer at Offchain Labs

Moderator:
James Prestwich, Crosschain Engineer",10/20/21,10/20/21,05:00:00 PM,08:30:00 PM,https://www.eventbrite.com/e/rollups-and-data-availability-building-a-modular-blockchain-stack-tickets-187337410237,"Monte Mar
R. da Cintura do Porto de Lisboa Armazém 65
1200-109 Lisboa, Portugal
https://goo.gl/maps/z6pmKE24ffUsd4sEA","events, panels","Speakers:
Mustafa Al-Bassam, Co-founder of Celestia Labs
Avihu Levy, Head of Product at Starkware Industries
John Adler, Co-founder of Fuel Labs
Fred Lacs, Software Engineer at Offchain Labs

Moderator:
James Prestwich, Crosschain Engineer","Maven 11, Celestia Labs, Starkware, Fuel Labs, Offchain Labs",,,,
Full Time Token Holder - Daytime Hangout,"As our evening event got oversubscribed in just a few days, we decided to extend the hours of fun with the EthLisbon community!","As our Full Time Token Holder got oversubscribed in just a few days, we decided to extend the hours of fun with the EthLisbon community and hold a day-time hangout at one of the coolest venues in the city !

Come hang out with us at the Flat anytime from 10am to 6pm to take a break from an intense program and just chill! You can expect:

A few casual talks on topics we all care about
Free-style presentations by community members
Chill-out rooms with no content whatsoever - just food, drinks, and a golden retriever puppy
A VR tour of an NFT exhibition via @oncyber_io
Cool people!
Come anytime, leave anytime.",10/21/21,10/21/21,10:00:00 AM,06:00:00 PM,https://www.eventbrite.com/e/full-time-token-holder-daytime-hangout-tickets-191600681797,"The Flat

Calçada Ribeiro Santos 37 1º andar

1200-769 Lisboa",events,,,,,,
Full Circle x ArtDAO Exhibition & Party @ Boa Labs,Full Circle and ArtDAO collaborate to celebrate Lisbon blockchain week with an immersive exhibition & party at Boa Labs in downtown Chiado,"Full Circle and ArtDAO collaborate to celebrate Lisbon blockchain week with an immersive exhibition & party at Boa Labs in downtown Chiado. Come and join us for drinks as we party to music from Cleison Monteiro & Pedro Rodrigues, Weselle and Johanna Schnieder alongside entrancing art exhibits, live paintings and A.I creations from ArtDAOs artists.
Special Event: We will be auctioning off one of the first physical NFTs, powered by Mattereum.",10/22/21,10/22/21,08:00:00 PM,03:00:00 AM,https://www.eventbrite.com/e/full-circle-x-artdao-exhibition-party-boa-tickets-191134216587,Boa Labs,"events, drinks",,"Full Circle, ArtDAO",,,,
SunSet Drinks on the Roof with Index Coop,Drinks on us before Sunset! ,Come join us for an informal meet and great with the gang! 🦉🦉,10/18/21,10/18/21,06:00:00 PM,09:00:00 PM,https://www.eventbrite.co.uk/e/sunset-drinks-on-the-roof-with-index-coop-tickets-191819997777,"Park - Calçada do Combro 58, 1200-123 Lisboa","events, drinks",@mrmadila,Index Coop,,,,
WORKing Boozy Brunch with Opolis ,"Grab some brunch and drinks with Opolis. We'll encourage $WORK talk, just no work talk. ","Opolis is hosting a boozy brunch for any Opolis employee or coalition members. If you're interested in joining Opolis, you're also more than welcome to come. We'll be starting at 1:15 pm at Dear Breakfast at Largo de Santo António da Sé 16, 1100-499 Lisboa, Portugal. Brunch only lasts for 2 hours, so get there early and leave with plenty of time to walk along the water or take a nap before rAave. ",10/24/21,10/24/21,01:15:00 PM,03:15:00 PM,http://evite.me/8ePhn8K5gy,"Dear Breakfast: Largo de Santo António da Sé 16, 1100-499 Lisboa, Portugal","events, drinks",We'll all be talking ,Opolis,,,,
Cryptodyssey Party,A networking odyssey into all things crypto & NFTs,"DoinGud and API3 get together for CRYPTODYSSEY.

A networking party with good music, good drinks, and good people.

Come hang out with peers from the crypto & NFT ecosystem, connect, enjoy the sights and the boat ride.

Right next to Liscon at LX Factory

There will be 3 pick-up times, get on board!

16h00-19h00
19h00-22h00
22h00-01h00
",10/21/21,10/21/21,04:00:00 PM,01:00:00 AM,https://www.eventbrite.es/e/cryptodyssey-boat-party-tickets-191637592197,"37 Calçada Ribeiro Santos, 1' andar
1200-789 Lisboa
Portugal","events, drinks","There won't be speakers but the networking event is organized by:
DoinGud - https://doingud.com/ @DoinGudHQ
API3 - https://api3.org/ @API3DAO",,,,,
LisCon off the 'Clock,An exclusive networking event of top blockchain experts meeting in Lisbon to discuss their projects and the future of decentralized finance,"Welcome to LisCon frens!

Sandclock is a group of ethereum developers based out of Lisbon and we are pleased to invite you to an exclusive event to meet and mingle with other ecosystem leaders.

Free drinks, coffee, appetizers, and pastries will be provided amidst a quieter, cozy setting so attendees can unwind, decompress, and forge new relationships. We expect a lot of interesting conversations, collaboration, and celebration of the space’s growth as attendees learn about each other's projects and find ways to advance the ecosystem together.

The first 50 attendees will receive an exclusive POAP NFT to commemorate the event. If you are a speaker present your badge and we also have a special gift for you.

This is a private event and space is limited, so sign up ASAP.",10/19/21,10/19/21,04:00:00 PM,07:00:00 PM,https://www.eventbrite.com/e/liscon-off-the-clock-tickets-191651724467,Simpli,events,https://twitter.com/SandclockOrg,Sandclock," Av. Fontes Pereira de Melo nº41 loja C, 1050-119 Lisboa, Portugal",,,
Non Fongible Party,Сommunication with like-minded people,The opportunity to chat with colleagues in a relaxed atmosphere,10/22/21,10/22/21,09:00:00 PM,02:00:00 AM,,,drinks,"Stake DAO , Centrifuge , RealT , Blackpool & more

",,,,,
"LIVE Community AMA: Chat with Metamask, Infura and Diligence","ConsenSys, Metamask, Diligence and Infura are inviting you to come meet the teams and ecosystem! We’ll have some food, drinks and live dj for a very intimate gathering.","           The meeting aims to get to know teams such as ConsenSys, Metamask, Diligence and Infura in a relaxed atmosphere.
          We will be discussing Metamask Swaps, Infura and Scaling Transactions, ETH2, and the new Diligence smart contract auditing capabilities.
          This will be a great chance to reunite with other builders in the Ethereum space!",10/23/21,10/23/21,06:00:00 PM,11:59:00 PM,https://www.eventbrite.com/e/live-community-ama-mixer-chat-w-metamask-infura-diligence-more-tickets-186425131587,"The Block Lisboa

63 Rua Latino Coelho

#1er Andar

1050-133 Lisboa

Portugal","events, drinks","Metamask

- Infura

- Diligence","ConsenSys, Metamask, Infura, Diligence, Truffle",,,,
PAC DAO Crypto Activism,Join us to discuss crypto activism and how we can make a difference with the impending regulations that are forming.,"Come and enjoy our PAC DAO events, which goal to gather dynamic people all around the world to relax together and discuss Crypto Activism. Meet friends, colleagues and new acquaintances in a laid-back atmosphere at unique locations in beautiful, inspiring Lisbon.",10/22/2021,10/22/2021,5:00:00 PM,9:00:00 PM,https://www.eventbrite.com/e/pac-dao-crypto-activism-tickets-189910817367,"The Corner Irish Pub
9 Travessa da Queimada
1200-285 Lisboa
Portugal",events,Gerrit Hall,PAC DAO,,,,
Ledger for decarbonFin,Code Real World Energy Assets into decarbonFi,"We have time and energy on planet Earth as some of the fundamental units of Physics.  

Energy needs to be 100% sun & wind based, so we can prolong our time as species human on Earth, most products in our decarbonisation drive are not Blockchain ledger based. We want to change this. 

Hence we defined a unit of measure called Xoules and X - Joules and we drive it to Zero.

Code the ledger and launch it with us at Blockchain Lisbon

",10/19/21,10/19/21,09:00:00 AM,12:00:00 AM,https://www.windfinityenergy.com,Xoules the DecarbonFi Revolution ,"hackathons, workshops",Alexander Straub ,WINDFINITY ,,,,
ZK Hack Kick-off Party,"The ZK Hack Party kicks off the ZK Hack online events, brought to you by Zero Knowledge Podcast, ZKValidator, Aleo & Anoma.","The ZK Hack Party kicks off our upcoming ZK Hack online events, produced by Zero Knowledge Podcast and ZKValidator alongside partners Aleo and Anoma. The ZK Hack Party happens on the Tejo River in Lisbon with an open bar, Portuguese snacks and members of the ZK community from near and far. 

Be sure to also sign up for ZK Hack starting on Oct 26th! https://www.zkhack.dev/",10/21/21,10/21/21,06:00:00 PM,09:03:00 PM,https://www.eventbrite.com/e/zk-hack-kick-off-party-tickets-185130539427,"Lisboa Rio, 7 Cais Gás",drinks,https://www.zkhack.dev/,"Aleo, Anoma, ZK Podcast, ZK Validator",,,,
Polygon Gang at LisCon 2021,Meet and Hang with Polygon Gang ,"Meet & greet the creators of $MAI—Polygon’s native stablecoin, GOGOcoin—the on-chain metaverse asset manager making DeFi easy, and Tesseract—bringing the best vaults and yield farming strategies from ETH to Polygon.
Enjoy the food, drinks, music, and one of the most beautiful rooftop views in Lisbon.",10/21/21,10/21/21,06:00:00 PM,12:00:00 AM,https://polygon.kickback.events/event/0xfe0832f00BBDdCeE435045f573fDDD5cD442DfCE,"TOPO MARTIM MONIZ
Centro Comercial Martim Moniz 6 Esq, Praça Martim Moniz, 1100-341 Lisboa, Portugal","events, drinks","https://twitter.com/QiDaoProtocol , https://twitter.com/tesseract_fi , https://twitter.com/GOGO_coin",Qi.DAO GOGOcoin Tesseract.Fi Polygon,,,,
Lisbon Crypto Run 🏃‍♀️🏃‍♂️🏃🏿‍♂️,Run!,"A run from the marina to Tower Belèm and back starting 11am on Tuesday 19th, followed by drinks/lunch. Meeting point: Quero-te nas docas (https://maps.app.goo.gl/WLLdP9GnidXmEitA8)",10/19/21,10/19/21,11:00:00 AM,01:00:00 PM,https://t.co/HRH2U8QhyH?amp=1,Quero-te nas docas ,"drinks, run",,,,,,
The legal SilkRoad,Free drinks and friendly chat about a total game-changer app. ,"Imagine: 
Geting into crypto by selling something instead of investing capital.
Starting a business without needing a website or credit card processor.
Purchasing products with your profits and without involving the bank.
Trading at any volume, at best rates and without slipping the market.
Paying a friend or business in any cryptocurrency without fees or delays. 

This is just some of what our smartphone application can facilitate. Come and talk to us about what we are doing and share your story too – drinks and nibbles on us.
 ",10/20/21,10/20/21,06:00:00 PM,08:00:00 PM,https://bitcoinvend.com/,"Outro Lado, Beco do Arco Escuro 1, 1100-585 Lisboa, Portugal",drinks,"BitcoinVend Founder : Chris Cousins, BitcoinVend Co-Founder Joe (The Juice) Jewson Business development : James Buchanan https://bitcoinvend.com/",BItcoinVend App,,,,
In it for the tech(n0),DeFi teams and investors from Tenderly x DeFi Saver x Tessaract are organizing a party for our frens and community!,"We're throwing a warmup party event to celebrate Lisbon Blockchain Week and our accomplishments.

The party will be hosted in Lisbon's most amazing club and one of the best in the world - Lux Fragil.

Open bar, House & Techno DJs, VJs and whatnot.

October 19th.

Lux Fragil.

Lisbon.

Get rekt. Balkan style.",10/19/21,10/19/21,11:00:00 PM,05:00:00 AM,https://www.eventbrite.com/e/in-it-for-the-techn0-tickets-191885634097,"Lux Fragil

Av. Infante D. Henrique a Sta Apolónia Cais da Pedra
#Armazém A
1950-376 Lisboa","events, drinks",It's a party!,"DeFi Saver, Tenderly, Tesseract ",,,,
Gear,Gear Meetup,"Introduction to Gear, your trampoline to Polkadot",10/23/21,10/23/21,11:00:00 AM,11:30:00 AM,https://gear-tech.io ,Meetup,events,Ilya Veller,Gear,,,,
Steakwallet x Figment: A Steaking Dinner,Steakwallet & Figment are inviting you to a steaking dinner with friends.,"To celebrate everyone coming together in Lisbon and multi-chain staking, Steakwallet & Figment are inviting you to an evening dinner with fantastic food (that may or may not include lots of steak), drinks, and like-minded people.",11/24/21,11/24/21,07:30:00 PM,11:00:00 PM,https://www.eventbrite.com/e/steakwallet-x-figment-a-steaking-dinner-tickets-191825805147?aff=,K.O.B by Olivier,Dinner,None,Steakwallet x Figment,,,,
"Governor's Mansion (G,M)",late nite celebration,"Governor's Mansion (G,M) is an exclusive event for the community to live like the Portuguese nobility of years past.

Decentralization is about coordinating many different people from different walks of life around a common goal. These governance systems only work with everyone's participation, but in turn allow the community to share all of the upside.

About Governor's Mansion (G,M)

Commonwealth organizes community events to reward active participation in governance. These events are strictly NO NETWORKING. We all deserve a night off to enjoy the progress we have made and get to know each other on a personal level.

There will be an open bar with special cocktails and mocktails. Additionally, we will have music provided by DJ Wagmi to keep the vibes flowing.

The guest list will be strictly enforced. In order to get off the waitlist you must be an active community member. Join commonwealth.im and link an email to get started with community governance!

About Commonwealth

Commonwealth is an all-in-one platform for DAOs, governance, and community management. We offer a crypto-native Discourse forum replacement, on-chain voting, off-chain voting, Snapshot integration, treasury management, and more. Commonwealth currently supports dYdX, Fei, Injective, Osmosis, Alpha Finance, SZNS, and more.",10/21/21,10/21/21,07:00:00 PM,11:59:00 PM,https://www.eventbrite.com/e/commonwealth-presents-governors-mansion-gm-tickets-192492790117,Palacete Gomes Frier,Drinks/party,none,"Commonwealth, Reverie",,,,
